ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1360,27439,Faculdade de Educaçao FDE,,27782,26958,11401,6033
1361,27481,Faculdades Uniro,,26778,27386,11401,6033
1362,27490,Escola de Educacao Fisica do Exercito,,23750,28115,11401,5288
1363,27517,Faculdade Teologica Batista de Bauru FATEO,,27782,27062,11401,6033
1364,27530,Faculdade Alfa Praia Grande,,19705,27712,11401,6033
1365,27539,Instituto Bahiano de História da Medicina e Ciências Afins,,25579,27522,11401,6033
1366,27552,Instituto Internacional de Estudos de Direito do Estado IIEDE,,19613,27725,11401,6033
1367,27558,Escola de Negócios UNISO,,24408,27595,11401,6033
1368,27565,Faculdades da Escada FAESC/SOESE,,23243,27653,11401,6033
1369,27596,Seminário Batista de Teologia Itaquera,,25628,27595,11401,6033
1370,27633,UNIESP Faculdade de Vinhedo,,27150,27511,11401,6033
1371,27633,Faculdade de Vendas,,27314,27481,11401,6033
1372,27639,Faculdade Centro Oeste do Paraná FACEOPAR,,21320,27758,11401,6033
1373,27664,(3) Faculdade Dom Pedro II Ensino a Distancia,,27782,27322,11401,6033
1374,27673,Instituto de Ensino Superior do Oeste Paulista IESOP,,27177,27555,11401,6033
1375,27684,Faculdade Colégio e Clínica Logos,,27356,27522,11401,6033
1376,27690,Formação Teológica Betel FATEBEL,,24584,27739,11401,6033
1377,27827,Faculdade Mercúrio,,27705,27595,11401,6033
1378,27886,Faculdade Entre Rios,,27084,27852,11401,6033
1379,27889,Faculdades de Tecnologia e Ensino Superior FATEC,,28051,27592,11401,6033
1380,27949,Instituto de Ciências Humanas e da Informação ICHI,,14623,28086,11401,6033
1381,27957,Instituto São Francisco de Assis de Administração Comunicação Educação e Saúde ISFACES,,27567,27852,11401,6033
1382,28051,Faculdade Cidade de Guanhães FACIG,,27204,28015,11401,6033
1383,28151,Faculdades Integradas Dom Pedro II,,26223,28151,11401,6033
1384,28164,Faculdade Paulista de Comunicação,,25644,28163,11401,6033
