ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
288,1137,State University of New York Downstate Medical Center Brooklyn,,3797,2342,605,1019
289,1142,Carleton College,,957,457,2370,2156
290,1145,United States Naval Academy,,4137,743,1122,1848
291,1148,Mount Holyoke College,,1855,433,1601,2303
292,1153,Embry Riddle Aeronautical University,,2318,682,1360,1957
293,1153,State University of New York College of Environmental Science and Forestry,,4362,1081,1086,1533
294,1157,University of Louisiana at Lafayette,,2704,1109,930,1597
295,1182,Southern Illinois University Edwardsville,,2331,804,1423,1857
296,1182,Oberlin College,,131,631,2031,2203
297,1182,Amherst College,,1235,608,1651,2140
298,1185,Marshall University,,2295,665,1543,2012
299,1185,University of North Florida,,1920,844,1066,1920
300,1191,Bryn Mawr College,,1756,443,1905,2319
301,1214,Saint John's University,,3213,941,1128,1819
302,1221,Haverford College,,2660,603,1933,2083
303,1224,California State University Sacramento / Sacramento State,,1435,529,1852,2277
304,1227,Loyola Marymount University,,2009,683,1370,2105
305,1228,Sonoma State University,,2835,614,1974,2083
306,1239,Fairfield University,,3656,1235,2127,1418
307,1250,Illinois State University,,1802,688,7268,1377
308,1251,Middle Tennessee State University,,2201,609,1425,2286
309,1255,California State University Chico,,2003,471,1942,2404
310,1259,Bowdoin College,,1853,687,1672,2132
311,1261,Hampton University,,5858,1700,2138,1159
312,1284,New York Medical College,,6663,3151,622,991
313,1285,Lamar University,,4310,1097,1689,1692
314,1291,(3) Stony Brook Medicine,,4137,2451,672,1234
315,1301,Trinity University San Antonio,,3481,808,1135,2148
316,1304,University of Maine,,1130,436,11401,965
317,1307,Babson College,,2998,738,538,2480
318,1311,(1) United States Military Academy at West Point,,2364,525,1936,2449
319,1317,University of Saint Thomas Saint Paul,,2304,660,1488,2344
320,1325,Vassar College,,1340,492,1358,2716
321,1327,North Carolina Agricultural & Technical State University,,4218,1412,1012,1671
322,1329,University of Texas Rio Grande Valley,,2978,2552,709,1287
323,1330,University of Northern Iowa,,1396,509,1844,2589
324,1335,Missouri State University,,1700,751,1732,2230
325,1341,Indiana State University,,2391,721,1913,2219
326,1345,(3) Barnard College Columbia University,,3206,1040,1660,1896
327,1347,University of Tennessee Chattanooga,,2918,1225,724,1982
328,1347,Humboldt State University,,2052,658,1583,2391
329,1360,Albany Medical College,,6007,2582,1440,1104
330,1369,Eastern Michigan University,,2597,793,1777,2203
331,1375,Colby College,,2080,680,1907,2369
332,1384,Desert Research Institute,,3767,1616,1016,1698
333,1385,Colgate University,,2588,931,1362,2203
334,1390,College of New Jersey,,2938,910,1305,2241
335,1391,Seton Hall University,,1663,605,2021,2563
336,1392,Suffolk University,,3785,884,756,2404
337,1399,Bentley University,,3451,919,987,2319
338,1404,Long Island University,,4887,949,1346,2156
339,1404,Harvey Mudd College,,1654,686,1434,2579
