ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1244,9857,Jiaozuo Teachers College / 锦州师范高等专科学校,,10120,6874,11401,6033
1245,9857,Shaanxi Youth Vocational College / 陕西青年职业学院,,7848,7008,11401,6033
1246,9857,Minbei Vocational & Technical College / 闽北职业技术学院,,11663,6764,11401,6033
1247,9867,Liuzhou City Vocational College / 柳州城市职业学院,,11859,6751,11401,6033
1248,9867,Sichuan Finance and Economics Vocational College / 四川财经职业学院,,10539,6859,11401,6033
1249,9867,Sichuan Radio and TV University / 四川广播电视大学,,5180,7250,11401,6033
1250,9867,Chengdu Polytechnic / 成都职业技术学院,,10185,6887,11401,6033
1251,9867,Southwest University for Nationalities / 西南民族大学,,10230,6879,11401,6033
1252,9867,Shanxi Vocational Poly-Tech College / 山西职业技术学院,,15214,6522,11401,6033
1253,9867,Huizhou Economics and Polytechnic College / 惠州经济职业技术学院,,7205,7067,11401,6033
1254,9881,Chengdu Normal University / 成都师范学院,,11769,6790,11401,6033
1255,9881,Northern Beijing Vocational Education Institute / 北京京北职业技术学院,,18734,6240,11401,6033
1256,9881,(3) Art & Culture College of Tianjin University of Sport / 天津体育学院运动与文化艺术学院,,14131,6619,11401,6033
1257,9881,Xi'An Fanyi University / 西安翻译学院,,8254,7009,11401,6033
1258,9888,(1) Hubei Radio and TV University / 湖北广播电视大学,,15383,6530,11401,6033
1259,9892,Chongqing Vocational College of Media / 重庆传媒职业学院,,14623,6606,11401,6033
1260,9899,Chongqing University of Education / 重庆第二师范学院,,8568,7022,11401,6033
1261,9899,(1) Suzhou Institute of Industrial Technology / 苏州工业职业技术学院,,17088,6417,11401,6033
1262,9899,Guangzhou Vocational College of Science and Technology / 广州科技职业技术学院,,10105,6939,11401,6033
1263,9903,Wuhan Social Work Professional College / 武汉民政职业学院,,15032,6598,11401,6033
1264,9903,Jiangxi Industry Polytechnic College / 江西工业职业技术学院,,15364,6570,11401,6033
1265,9903,Shaanxi Energy Institute / 陕西能源职业技术学院,,11634,6844,11401,6033
1266,9916,Guangzhou Kangda Vocational Technical College / 广州康大职业技术学院,,12104,6832,11401,6033
1267,9916,(1) Xuzhou Vocational College of Industrial Technology / 徐州工业职业技术学院,,9093,7006,11401,6033
1268,9916,Lu'an Vocation Technology College / 六安职业技术学院,,11846,6843,11401,6033
1269,9916,Mudanjiang University / 牡丹江大学,,11536,6870,11401,6033
1270,9925,Yunnan Physical Science and Sports Professional College / 云南体育运动职业技术学院,,5858,7267,11401,6033
1271,9925,Quanzhou Textile Garment Institute / 泉州纺织服装学院,,14234,6670,11401,6033
1272,9935,China Petroleum Pipeline College / 河北石油职业技术学院,,27782,4627,11401,6033
1273,9935,Guangxi Normal University for Nationalities / 广西民族师范学院,,27705,4721,11401,6033
1274,9935,Harbin Cambridge University / 哈尔滨剑桥学院,,11285,6903,11401,6033
1275,9935,City Vocational College of Jiangsu / 江苏城市职业学院,,15487,6600,11401,6033
1276,9935,Meishan Vocational & Technical College / 眉山职业技术学院,,8115,7098,11401,6033
1277,9935,Shaanxi Aviation Professional Technical Institute / 陕西航空职业技术学院,,10199,6965,11401,6033
1278,9935,Tianhe College of Guangdong Polytechnic Normal University / 广东技术师范学院天河学院,,16542,6515,11401,6033
1279,9948,Harbin Guangsha College,,13513,6754,11401,6033
1280,9948,(3) College of Post and Telecommunication Wuhan Institute of Technology / 武汉工程大学邮电与信息工程学院,,11118,6924,11401,6033
1281,9957,Guangdong Engineering Polytechnic / 广东工程职业技术学院,,13004,6822,11401,6033
1282,9957,Shijiazhuang Medical College / 石家庄医学高等专科学校,,13413,6789,11401,6033
1283,9957,Suizhou Vocational & Technical College / 随州职业技术学院,,16960,6509,11401,6033
1284,9957,Zhangzhou College of Science & Technology / 漳州科技学院,,11189,6940,11401,6033
1285,9957,Nanjing Institute of Visual Arts / 南京视觉艺术学院,,16457,6547,11401,6033
1286,9957,Jilin Province Economic Management Cadre College / 吉林省经济管理干部学院,,9040,7057,11401,6033
1287,9957,Anhui International Economy College / 安徽涉外经济职业学院,,12312,6867,11401,6033
1288,9957,Beijing Hospitality Institute / 中瑞酒店管理学院 北京第二外国语学院,,10262,6981,11401,6033
1289,9969,(1) Fujian Health College / 福建卫生职业技术学院,,9467,7040,11401,6033
1290,9989,Jiangxi Aviation Vocational & Technical College / 江西航空职业技术学院,,10986,6985,11401,6033
1291,9989,Anqing Medical College / 安庆医药高等专科学校,,9880,7053,11401,6033
1292,9994,Jianghai Polytechnic College / 江海职业技术学院,,16400,6615,11401,6033
1293,9994,Guangzhou International Economics College / 广州涉外经济职业技术学院,,9808,7059,11401,6033
1294,9994,Hefei College of Finance & Economics / 合肥财经职业学院,,14441,6772,11401,6033
1295,10001,Shijiazhuang Vocational College of Industry and Commerce / 石家庄工商职业学院,,11810,6961,11401,6033
1296,10001,Anhui Vocational College of Sports / 安徽体育运动职业技术学院,,14576,6765,11401,6033
1297,10001,Harbin Far East Institute of Technology / 哈尔滨远东理工学院,,13745,6840,11401,6033
1298,10010,Inner Mongolia Vocational & Technical College / 内蒙古交通职业技术学院,,10962,7018,11401,6033
1299,10010,Lanzhou Jiaotong University Bowen College / 兰州交通大学博文学院,,12782,6911,11401,6033
1300,10010,(3) Guangzhou College South China University of Technology / 华南理工大学广州学院,,6007,7370,11401,6033
1301,10010,Hunan Vocational College of Railway Technology / 湖南铁路科技职业技术学院,,7832,7231,11401,6033
1302,10022,Sichuan Vocational College of Cultural Industries / 四川文化产业职业学院,,24675,5861,11401,6033
1303,10031,Hunan College of Foreign Studies / 湖南外国语职业学院,,13472,6898,11401,6033
1304,10046,Puyang Vocational & Technical College / 濮阳职业技术学院,,13983,6869,11401,6033
1305,10046,Nanyang Institute of Technology / 南阳理工学院,,7521,7291,11401,6033
1306,10046,(3) Chongqing Normal University Foreign Trade & Bussiness College / 重庆师范大学涉外商贸学院,,16778,6648,11401,6033
1307,10058,Xiaoxiang vocational college / 潇湘职业学院,,6954,7342,11401,6033
1308,10065,(1) Yantai Vocational College (Education Institute & Television University) / 烟台职业学院,,15265,6812,11401,6033
1309,10071,Xiamen Huatian Institute / 厦门华天涉外学院,,11595,7047,11401,6033
1310,10071,Gansu Vocational and Technical College of Communications / 甘肃交通职业技术学院,,12436,6997,11401,6033
1311,10071,Guangdong University of Foreign Studies South China Business College / 广东外语外贸大学南国商学院,,8996,7229,11401,6033
