World Rank;University;Det.;Presence Rank*;Impact Rank*;Openness Rank*;Excellence Rank*
459;Jyväskylä University / Jyväskylän yliopisto;;550;516;528;553
459;East China University of Science & Technology / 华东理工大学;;1830;814;454;360
461;Loyola University Chicago;;1050;313;632;688
462;Mississippi State University;;932;289;799;703
463;University of Canterbury;;1282;468;463;572
463;Eötvös Loránd University Budapest / Eötvös Loránd Tudományegyetem ELTE;;31;596;117;731
465;Kobe University / 神戸大学;;782;606;671;471
465;Università degli Studi di Milano Bicocca;;918;1037;326;327
467;Saint Louis University;;1849;361;715;608
468;Rockefeller University;;4137;704;104;453
469;China University of Geosciences / 中国地质大学;;1396;735;971;354
469;University of Wyoming;;1553;347;583;664
471;Université de Liège;;10;963;1037;390
472;Northwestern Polytechnical University / 西北工业大学;;1088;740;818;371
473;New Mexico State University;;782;248;588;831
474;University of Texas San Antonio;;1530;526;286;579
475;Montana State University;;1210;305;416;766
475;Ryerson University;;1252;372;722;635
477;Medizinische Universität Wien;;1669;1233;319;244
477;King Abdulaziz University;;556;1816;658;123
479;University of Science & Technology Beijing / 北京科技大学;;1742;652;905;396
480;University of Nevada Reno;;1293;315;493;737
481;Pohang University of Science & Technology / 포항공과대학교;;782;866;549;379
482;Middle East Technical University / Orta Doğu Teknik Üniversitesi;;753;434;925;580
483;George Washington University;;106;72;11401;292
484;University of Belgrade / Универзитет у Београду / Univerzitet u Beogradu;;220;942;914;355
485;Technische Universität Graz;;727;476;465;623
485;Xidian University / 西安电子科技大学;;892;696;745;416
487;Università della Calabria (Università degli Studi della Calabria);;1302;789;152;482
488;Universität Konstanz;;946;502;315;629
488;Old Dominion University;;1271;379;434;718
490;College of William & Mary;;1032;290;650;781
491;University of Idaho;;1417;284;489;805
492;Chulalongkorn University;;232;478;865;614
493;Thomas Jefferson University;;2182;880;306;391
494;University of Rhode Island;;1023;303;369;838
495;University of Plymouth;;2281;569;603;512
496;Massey University;;1378;488;456;613
496;Università degli Studi di Catania;;761;1027;685;329
498;Università degli Studi di Perugia;;1340;1172;206;337
498;Stellenbosch University;;871;715;604;466
498;Università degli Studi di Bari Aldo Moro;;848;1177;188;356
501;City University London;;1521;406;473;688
502;Universidad Nacional de Colombia;;252;250;748;907
503;University of Nevada Las Vegas;;1059;348;395;789
503;Warsaw University of Technology / Politechnika Warszawska;;622;570;595;580
505;Northern Illinois University;;1185;283;1045;748
506;University of Tromso / Universitetet i Tromsø;;634;556;628;590
507;Medical College of Wisconsin;;1853;783;447;441
508;Universidade de Aveiro;;680;885;462;428
509;Università Cattolica del Sacro Cuore;;1217;1061;349;370
510;Nanjing University of Aeronautics & Astronautics / 南京航空航天大学;;1537;749;730;430
511;Swedish University of Agricultural Sciences / Sveriges Lantbruksuniversitet;;1109;893;611;402
512;Northeastern University China / 东北大学;;1127;748;882;438
513;National Sun Yat Sen University;;403;505;505;702
514;Université de Montpellier (comUE Languedoc Roussillon Universités);;2252;1938;710;126
514;Indian Institute of Technology Bombay;;630;667;486;564
516;Heriot-Watt University;;1553;483;565;662
516;Budapest University of Technology and Economics / Budapesti Műszaki és Gazdaságtudományi Egyetem BME;;9;479;877;824
516;Lehigh University;;1463;358;415;817
519;Tampere University of Technology / Tampereen teknillinen yliopisto;;1198;441;793;663
520;University of North Carolina Charlotte;;1070;437;564;722
520;(1) Hunan University / 湖南大学;;1287;1433;512;252
522;AGH University of Science & Technology / Akademia Górniczo-Hutnicza Stanisława Staszica w Krakowie;;528;607;1104;537
522;Université de Sherbrooke;;749;557;548;637
524;University of Iceland / Háskóli Íslands;;170;731;384;602
525;National Yang Ming University;;1310;579;869;557
526;Beijing University of Chemical Technology / 北京化工大学;;1966;803;645;440
527;University of Essex;;1497;404;497;773
528;Binghamton University;;2047;350;406;825
529;(1) Kyungpook (Kyungbook) National University / 경북대학교;;841;1206;40;455
530;Sorbonne Université;;1293;3733;918;25
531;American University Washington DC;;940;175;606;1124
532;University of Patras (incl University of Western Greece);;420;619;617;631
533;Bar Ilan University;;483;836;354;533
533;University of Denver;;1266;282;524;922
535;King Abdullah University of Science & Technology;;1936;1407;175;335
536;Tallinn University of Technology / Tallinna Tehnikaülikool;;137;877;1337;424
537;Technische Universität Dortmund;;139;891;885;483
538;Università degli Studi di Parma;;1003;906;322;511
539;Université de Nantes (comUE Université Bretagne Loire);;577;926;661;466
539;Renmin University of China / 中国人民大学;;653;322;1221;802
541;Zhengzhou University / 郑州大学;;1700;710;741;516
542;(3) Peking University Health Science Center (Beijing Medical University) / 北京大学医学部;;1452;974;1251;359
543;Ohio University;;1452;355;753;815
544;Università degli Studi di Palermo;;585;1144;443;400
