10404;North Georgia Technical College;;9620;7661;11401;6033
10404;Quanzhou College of Technology / 泉州轻工学院;;10084;7633;11401;6033
10404;Sekolah Tinggi Ilmu Kesehatan STIKES Banyuwangi;;13395;9812;10235;6033
10404;(3) Moscow State Technical University NE Bauman Kaluga Branch;;12025;7501;11401;6033
10404;Uka Tarsadia University Bardoli;;13931;14773;3893;6033
10404;Yunnan Vocational Institute of Energy Technology / 云南能源职业技术学院;;10422;7597;11401;6033
10404;Fondazione Milano Scuole Civiche di Milano;;7624;7821;11401;6033
10404;Hochschule Ansbach;;7787;8752;11096;6033
10414;Gift University;;18611;12714;6385;6033
10414;Hochschule Biberach;;8982;7727;11401;6033
10414;University of Kordofan;;3467;17349;6201;5580
10414;Universitas Borneo Tarakan;;7395;13809;6007;6033
10414;Padmasri Dr B V Raju Institute of Technology;;9598;13539;6193;6033
10414;La Cité Collégiale;;9025;7717;11401;6033
10414;Capital University of Science & Technology;;12708;15232;3410;6033
10414;North Arkansas College;;10120;7644;11401;6033
10414;Reedley College;;17888;7079;11401;6033
10414;Swami Rama Himalayan University;;19525;15200;2592;6033
10414;Sarhad University of Science & Information Technology;;15265;13238;6061;6033
10414;Tamil Virtual Academy;;1724;8626;11401;6033
10414;Tokiwa University / 常磐大学;;9448;7687;11401;6033
10414;Universidad Nacional del Este;;3481;12809;11401;5288
10414;Yueyang Vocational Technical College / 岳阳职业技术学院;;9520;7680;11401;6033
10429;Globe University Historic Business School;;21966;6728;11401;6033
10429;Guilin Landscape Vocational College / 桂林山水职业学院;;13858;7404;11401;6033
10429;Haywood Community College;;9025;7724;11401;6033
10429;Hefei Information Technology University / 合肥信息技术职业学院;;16720;7178;11401;6033
10429;Korea Military Academy / 육군사관학교;;27495;11133;6389;6033
10429;Royal Danish Academy of Fine Arts School of Visual Arts / Kongelige Danske Kunstakademi Billedkunstskolerne;;10326;8842;10987;6033
10429;Baddi University;;18385;13939;4589;6033
10429;Bengbu University / 蚌埠学院;;12471;7489;11401;6033
