ranking;Researcher;University;Citations;H-Index
372;Rakesh Agrawal;Microsoft Research;107524;98
373;Jean Marie Tarascon;College de France;107355;132
374;Jonathan D Cohen;Princeton University;106931;124
375;Philip Cohen;University of Dundee;106890;153
376;Ian T Foster;University of Chicago;;
377;Jean Frechet;King Abdullah University of Science and Technology;106488;165
378;Hari Balakrishnan;Massachusetts Institute of Technology MIT;106447;103
379;Y Eugene Chen;University of Michigan;106334;135
380;Evan Eichler;University of Washington;106257;137
381;Michael Tomasello;Max Planck Gesellschaft MPG;106239;159
382;Akihisa Inoue;Josai International University;105830;137
383;Jeffrey Sachs;;105807;135
384;Luca Lista;Istituto Nazionale di Fisica Nucleare;105661;139
385;Dennis W Dickson;Mayo Clinic;105624;159
386;Masahiko Hada;Tokyo Metropolitan University;105616;45
387;Benoît B Mandelbrot;IBM;;
388;J Ellison;University of California Riverside;105434;136
389;William Dietz;;105392;106
390;Carl Cotman;University of California Irvine;105337;163
391;Bernd Stelzer;Simon Fraser University;105334;136
392;Reinhard Schwienhorst;Michigan State University;105056;134
393;Gabriella Pasztor;University of Geneva;105022;122
394;Peter Carmeliet;Universiteit van Leuven VIB;104689;152
395;Markku Laakso;University of Eastern Finland;104673;145
396;Ad Bax;NIDDK NIH;104656;144
397;John Minna;University of Texas Southwestern Medical Center;104590;167
398;Geoffrey Burnstock;University College London;104541;143
399;Russell Tracy;University of Vermont;104536;139
400;Bernhard Schölkopf;Max Planck Gesellschaft MPG;104367;114
401;Kalyanmoy Deb;Michigan State University;104205;104
402;Jeffrey Cummings;Cleveland Clinic;103983;156
403;Jack Strominger;Harvard University;103911;156
404;Klaus Schulten;University of Illinois at Urbana Champaign;103891;144
405;Gilvan Augusto Alves;Centro Brasileiro de Pesquisas Fisicas;103749;136
406;K M Narayan;Emory University;103533;121
407;Karlheinz Meier;Ruprecht Karls Universität Heidelberg;103504;134
408;Rury R Holman;NIHR Oxford Bio- medical Research Centre;103458;101
409;Matt Dobbs;McGill University;103451;98
410;S L Lloyd;Queen Mary University of London;103072;128
411;Daron Acemoglu;Massachusetts Institute of Technology MIT;102879;119
412;Anthony Cerami;Rockefeller University;;
413;Michael E Greenberg;Harvard University;102613;135
414;Panos Deloukas;Queen Mary University of London;102568;120
415;Alejandro Portes;Princeton University;102438;114
416;Ramon Miquel;Institut de Fisica d'Altes Energies Barcelona;102355;108
417;Cyrus Cooper;University of Southampton;;
418;Akira Fujishima;Tokyo University of Science;102329;124
419;Stephen J Gould;;102311;131
420;Juan Suarez González;Belarusian State University;102282;127
421;George Weinstock;Jackson Laboratory;102054;96
422;Jack Dongarra;University of Tennessee at Knoxville;;
423;John Stuart Mill;University of St Andrews;101880;83
424;Carl Folke;Royal Swedish Academy of Sciences;101778;121
425;Hans Ulrich Wittchen;Technische Universitaet Dresden;101548;145
426;Takeo Kanade;Carnegie Mellon University;101521;144
427;Carlo La Vecchia;Università degli Studi di Milano;101273;145
428;Sotirios Vlachos;;101238;123
429;G F Susinno;University of Geneva;;
430;H Erich Wichmann;Helmholtz Zentrum München;;
431;Nicholas A Peppas;University of Texas at Austin;101136;149
432;Friedrich Hayek;LSE;;
433;Oleg Yazyev;Ecole Polytechnique Fédérale de Lausanne;101018;57
434;Ewan Birney;European Molecular Biology Laboratory;;
435;Roger J Davis;Howard Hughes Medical Institute and Molecular Medicine;100798;146
436;Walter W Powell;Stanford University;100723;67
437;Srinivasan Iyengar;Indiana University;100605;49
438;William A Goddard;California Institute of Technology;100563;136
439;Gerasimos Filippatos;National and Kapodistrian University of Athens;;
440;Giacomo Rizzolatti;University of Parma;100364;123
441;M H Criqui;University of California San Diego;100359;127
442;Richard E Mayer;University of California Santa Barbara;100346;130
443;Gerald M Rubin;Howard Hughes Medical Institute;100287;145
444;Giovanni Busetto;Università di Padova;100237;150
445;Leo Breiman 1928 2005;UC Berkeley;100132;50
446;Tim D Spector;King's College London;100016;156
447;Julia Velkovska;Vanderbilt University;99983;129
448;Stephen Holgate;University of Southampton;99791;154
449;Sheldon Stone;Syracuse University;99607;117
450;Yi Cui;Stanford University;99576;143
451;Francesco Crescioli;Istituto Nazionale di Fisica Nucleare Pisa;99562;134
452;Carlos Frenk;Durham University;99551;134
453;Mark Gerstein;Yale University;99257;148
454;Janet M Thornton;European Molecular Biology Laboratory;;
455;Douglas C Montgomery;Arizona State University;99196;78
456;Lev Dudko;Moscow State University;99164;134
457;James Pinfold;University of Alberta;99064;135
458;Fabrizio Palla;Istituto Nazionale di Fisica Nucleare;99007;135
459;Byungsik Hong;Korea University;98963;137
460;J L Rodriguez;Florida International University;98917;130
461;Robin M Murray;King's College London;98868;157
462;Bruce Avolio;University of Washington;98734;114
463;Charles S Carver;University of Miami;98704;117
464;Marshal Folstein;;98667;81
465;Jinghui Zhang;St Jude Children's Research Hospital;98552;57
466;Gagan Mohanty;Tata Institute of Fundamental Research;98454;135
467;George A Wells;University of Ottawa;98414;156
468;Richard S Ellis;California Institute of Technology;98389;147
469;R B Haynes;McMaster University;98357;104
470;Haijun Yang;Shanghai Jiao Tong University;98052;135
471;George Bakris;University of Chicago;98008;111
472;S Osher;University of California Los Angeles;97987;107
473;Eduard de la Cruz Burelo;CINVESTAV IPN;97943;125
474;Rob Knight;University of California San Diego;;
475;Thomas Saaty;;97853;91
476;Juan Jose Hernandez Rey;Instituto de Física Corpuscular CSIC University of Valencia;97818;86
477;Emil Wolf;University of Rochester;97817;93
478;Karl Swedberg;;97698;128
479;Wilmar Schaufeli;Utrecht University;97696;134
480;Michael Manns;Medizinische Hochschule Hannover;97545;147
481;Si Xie;California Institute of Technology;97503;121
482;Saptaparna Bhattacharya;Northwestern University;97420;109
483;David Schlegel;Lawrence Berkeley National Laboratory;97330;122
484;Joseph LeDoux;New York University;96871;138
485;Elliott Cheu;University of Arizona;96713;127
486;Richard E Petty;Ohio State University;96656;125
487;William Greene;Stern School of Business NYU;96498;75
488;Mario Paolo Giordani;Università degli Studi di Udine;;
489;P M Ajayan;Rice University;96476;145
490;Josef Coresh;Johns Hopkins University;96400;134
491;Olgierd Zienkiewicz;Swansea University;96359;121
492;Moungi Bawendi;Massachusetts Institute of Technology MIT;95936;143
493;Fernando Barreiro;Universidad Autónoma de Madrid;95880;127
494;Dani Rodrik;Institute for Advanced Study in Princeton;95738;126
495;Fraser Stoddart;Northwestern University;95603;146
496;Sandro De Cecco;Université Diderot Paris7;;
497;Michael Phelps;University of California Los Angeles;95507;157
498;Maria Elena Pol;Centro Brasileiro de Pesquisas Físicas;95459;130
499;Paolo Laurelli;Istituto Nazionale di Fisica Nucleare;95358;126
500;Ronald Harry Coase;University of Chicago;95332;56
501;Tobin Marks;Northwestern University;95306;150
502;Markus Klute;Massachusetts Institute of Technology MIT;95115;129
503;Marc Kirschner;Harvard Medical School;95096;154
504;Nahum Sonenberg;McGill University;95047;163
505;Nicholas White;Mahidol University;;
506;Sergey Kuleshov;Universidad Tecnica Federico Santa Maria;94980;128
507;P Gabriel Steg;Université Paris 7 Diderot Sorbonne Paris-Cité;94966;122
508;Ibahim Haddadi;;94799;87
509;Oana Vickey Boeriu;University of Sheffield;94734;117
510;Sean R Eddy;Howard Hughes Medical Institute;;
511;Douglas M Gingrich;University of Alberta;94677;128
512;Lucia Silvestris;Istituto Nazionale di Fisica Nucleare;94653;129
513;Stuart Orkin;Harvard University;94519;174
514;Saverio D'Auria;University of Glasgow;94238;124
515;Shaoping Li;Western Digital Inc;94104;122
516;Philippe Froguel;Imperial College London;;
517;Edward L Wright;University of California Los Angeles;93986;90
518;Mark McCarthy;University of Oxford;93974;140
519;C N R Rao #;Jawaharlal Nehru Centre for Advanced Scientific Research;93951;138
520;Peter Salovey;Yale University;93938;111
521;Martin Blaser;New York University School of Medicine;93856;147
522;Ian F Akyildiz;Georgia Institute of Technology;93845;107
523;Mostafa A El Sayed;Georgia Institute of Technology;93681;112
524;Alan Bryman;;93606;73
525;Shelley E Taylor;University of California Los Angeles;93541;123
526;David Bates;Harvard Medical School;93491;139
527;Thomas D Schmittgen;University of Florida;93321;44
528;Francesco Fabozzi;Università della Basilicata;;
529;Linus Pauling;California Institute of Technology;93065;111
530;Cass Sunstein;Harvard University;93006;139
531;Richard J Davidson;University of Wisconsin Madison;92757;152
532;Sidney G Winter;Wharton School University of Pennsylvania;92750;74
533;Dongchul Son;Kyungpook National University;92729;128
534;Slavoj Zizek;Birkbeck Institute for the Humanities;92686;112
535;Stewart Wolmark;;92632;121
536;John S Bell;CERN;92571;82
537;Nicola Cavallo;Università degli Studi della Basilicata;92483;129
538;Sheldon Cohen;Carnegie Mellon University;92388;108
539;Adam Torbicki;Centrum Medyczne Kształcenia Podyplomowego;92252;75
540;Peter E Hart;;92098;53
541;Paolo Giacomelli;Istituto Nazionale di Fisica Nucleare;92072;128
542;Kieron Burke;University of California Irvine;91976;55
543;Herbert W Marsh;Australian Catholic University;;
544;Michele Livan;;91960;129
545;Vishva Dixit;Genentech Inc;91946;143
546;Franco Ligabue;Scuola Normale Superiore di Pisa;91911;129
547;Florencia Canelli;Universität Zürich;91904;136
548;Richard Young;Massachusetts Institute of Technology MIT;91820;149
549;Claes Fornell;University of Michigan;91816;53
550;Elhanan Helpman;Harvard University;91781;80
551;David Watson;University of Notre Dame;91738;93
